layout,depth,games,timeout,minimax_score,alphabeta_score,rl_score,rl_vs_minimax,rl_vs_alphabeta,minimax_win_rate,alphabeta_win_rate,rl_win_rate,minimax_avg_time,alphabeta_avg_time,rl_avg_time,rl_avg_moves,rl_avg_stop
testClassic,1,200,30,548.5,548.5,552.5,4.0,4.0,1.0,1.0,1.0,0.01411168098449707,0.012562284469604492,0.01556942105293274,54.04,0.0
smallClassic,2,100,30,-149.8,-149.8,196.6,346.4,346.4,0.02,0.02,0.34,0.3869356250762939,0.187442524433136,0.2839662146568298,237.86,0.0
capsuleClassic,2,100,30,-228.9,-228.9,-135.2,93.7,93.7,0.0,0.0,0.12,0.40476945638656614,0.24152980327606202,0.3043076157569885,295.03,0.0
mediumClassic,1,50,30,14.5,14.5,515.5,501.0,501.0,0.0,0.0,0.28,0.16299647808074952,0.15049589157104493,0.21872018814086913,443.72,0.0
originalClassic,1,50,30,348.6,348.6,664.4,315.7,315.7,0.0,0.0,0.02,0.8538234281539917,0.8325488710403443,1.4304556131362915,1065.84,0.0
trickyClassic,1,50,30,101.3,101.3,293.0,191.7,191.7,0.0,0.0,0.02,0.6932739782333374,0.5242478370666503,0.6430697250366211,740.48,0.0
contestClassic,1,50,30,11.3,11.3,244.4,233.1,233.1,0.0,0.0,0.28,0.13971882820129394,0.12212353706359863,0.21446073055267334,459.7,0.0
minimaxClassic,3,100,30,-243.5,-243.5,-153.1,90.4,90.4,0.25,0.25,0.34,0.12774563789367677,0.03982113599777222,0.03586461782455444,23.82,0.0
trappedClassic,1,1000,30,-392.3,-392.3,-391.4,0.9,0.9,0.107,0.107,0.107,0.0017629499435424805,0.001703239917755127,0.0013893208503723145,7.712,0.0
openClassic,1,10,1,-419.5,-745.4,1057.0,1476.5,1802.4,0.0,0.0,0.9,1.4388606071472168,1.5697882413864135,0.521130895614624,431.1,0.0
